'hood	108659519
tailor	110709060 200302443 201670222 201670612
tailor's chalk	104392244
tailor's tack	104392359
tailor-made	104392166 300675647
tailor-make	201626526 201670222
tailorbird	101568848
tailored	300675647 301798494
tailoring	100619676
tailpiece	104392518
tailpipe	104392623
tailplane	103541302
tailrace	104392756
tails	103243757
tailspin	100307036 114427446
tailstock	104393138
tailwind	111463505
tailwort	112837268
taimyr peninsula	109044502
taint	114511315 200088465 201540747
tainted	301074386
taipan	101754113
taipeh	108748728
taipei	108748728
taira	102454046
taiwan	108748187 108748383
taiwan dollar	113696150
taiwanese	106943410 109753331 303134068
taiyuan	108746428
taj mahal	104393370
tajik	106987050 108501820 109043331 109753438
tajiki	106987050
tajikistan	109043331
tajikistani	302974949
tajikistani monetary unit	113724501
taka	113730119
takahe	102020379
takakkaw	109476848
takayasu's arteritis	114282459
take	100909831 113281089 200087488 200173351 200524175 200525762 200558481 200601387 200626148 200671680 200676526 200736077 200758121 200760378 201004785 201103241 201153576 201159300 201216829 201429760 201846632 201934453 201986409 202003830 202080104 202081903 202113499 202205920 202210054 202211401 202212900 202213319 202214527 202214718 202240906 202241406 202272834 202399325 202596409 202605633 202634015 202707070 202722977 202747421
take a bow	200900804 200900967
take a breath	200001740
take a breather	200781405
take a chance	202550045
take a crap	200073791
take a dare	200952238 200952369
take a dive	200840764
take a firm stand	200820635
take a hit	201202393
take a hop	201896097
take a joke	200671548
take a leak	200071765
take a look	202136242
take a powder	200428511
take a shit	200073791
take aback	201813031
take account	200593736
take advantage	202284617 202575977
take after	201748331 202672014
take aim	201153576
take apart	200645135 201575341 201661660
take arms	201095876
take away	200173351 200179456 200533195 200572138 201169274 201436911 202210501
take back	200612324 200800738 201856558 202082541 202210669 202463837
take care	202442554 202555278 202597753
take chances	202550045
take charge	202445635
take control	202445635
take down	201022943 201665698 201804404 201977139
take effect	200523362
take exception	200809824
take fire	202766580
take five	200781953
take flight	202079709
take for	200695546
take for granted	200633898
take form	202629987
take heart	201810374
take heed	202175483
take hold	201219234 202445635
take hold of	201441809
take home	202294759
take in	200304881 200414120 200603650 200856586 201159300 201200618 201217350 201472854 201541851 201543626 202155378 202193614 202222955 202294200 202498233 202663091 202771422
take in charge	202545352
take in vain	201164146
take in water	200258833
take into account	200725507
take issue	200806464
take it easy	200026934
take it on the chin	200671446
take kindly to	202725121
take leave	202012411
take lying down	200671284
take note	202123398
take notice	202123258
take off	200050171 200179205 200642914 201329005 201747194 201868424 202018017 202018405 202417080
take office	202388984
take on	200525762 201081873 202241406 202386868 202575545
take one's lumps	200740164
take orders	202391408 202548720
take out	200179456 200617464 200678940 201169274 201353852 201355093 201488139 201858118 201999243 202244043 202316367 202331951 202410046 202492311
take over	202221342 202279144 202279327 202306786 202351720 202386868 202417305 202601659
take pains	202536754
take part	202455121
take place	200340744
take pride	201832935
take root	200416323
take shape	202629987
take sides with	200897044
take someone's side	200897044
take stage	202541026
take stock	202157817 202477918
take ten	200782097
take the air	201886163
take the bull by the horns	201081732
take the cake	201110306
take the count	201127635
take the field	201096197 201157020
take the fifth	200896020
take the fifth amendment	200896020
take the floor	200991522 201987522
take the road	201849529
take the stage	202541026
take the stand	201016830
take the veil	200890040
take time by the forelock	202407413
take time off	202417080
take to	201780389 202606776
take to be	200691692
take to heart	200618360
take to task	200826456
take to the woods	202079296
take turns	200121022
take up	200349076 200350937 200603507 201200618 201315031 201541851 201543237 201543626 201986409 202351720 202384670 202597327 202655595
take up arms	201095876
take water	202021515
take-away	301530381
take-home	301587106
take-home pay	113302015
take-in	100758133
take-up	100194854 104393543
takeaway	100557871 107231777 107610082
takedown	106729735 107486654
takelma	106938315 109689756
taken	300072347 301381597
taken for granted	301623076
taken up	300546698
taken with	301468558
takeoff	100306928 100550647 106793148 107390235
takeoff booster	102875694
takeoff rocket	102875694
takeout	106750377 107610082 301530381
takeout food	107610082
takeover	100791567 101147528
takeover arbitrage	101096217
takeover attempt	100791866
takeover bid	100792008
takeover target	108092911
taker	109871489 110709280
takilman	106938315
takin	102422280
taking	100715729 300169091
taking apart	107448110
taking hold	100813935
taking into custody	100089545
taking over	100083574
takings	113281089
taklamakan desert	109196185
taklimakan desert	109196185
tala	113730387
talapoin	102487856
talaria	104393751
talbot	111349276
talc	115090934 200042095
talcott parsons	111244299
talcum	104393879 115090934
talcum powder	104393879
tale	106769768 107235754
taleban	108493176
talebearer	110712192
talebearing	300498304
talent	105631825 110709374
talent agent	110709498
talent scout	110582396
talented	301122955
talentless	301123068
talentlessness	105655617
taleteller	110712192
taliban	108493176
talien	108744836
talinum	111883067
talinum augustissimum	111883711
talinum aurantiacum	111883304
talinum brevifolium	111883936
talinum calycinum	111884186
talinum paniculatum	111884346
talinum spinescens	111884583
taliped	302148624
talipes	114238066
talipes calcaneus	114238528
talipes equinus	114238420
talipes valgus	114238301
talipot	112610602
talipot palm	112610602
talisman	102709445
talismanic	301581736
talk	100894923 107150442 107154024 107238645 107255209 200832422 200939238 200944022 200954873 200964479 200965602
talk about	200945595 201036184
talk down	200751590 200866478 200965047
talk into	200770557
talk of	200945595
talk of the town	107238645
talk out of	200770434
talk over	200815640
talk shop	201036638
talk show	106632734
talk terms	200763758
talk through one's hat	200841205
talk turkey	200966397
talkative	300498983 300776858 302392645
talkatively	400394779
talkativeness	104658739
talker	110649550
talker identification	105771764
talkie	106631329
talkily	400394779
talking	107150442
talking book	104394049
talking head	110709591
talking picture	106631329
talking point	106619557
talking to	106726869
talks	107162900
talky	302392645
tall	105104540 300649139 300752176 302024935 302393670
tall bellflower	112058507
tall bilberry	112268181
tall buttercup	111741112
tall crowfoot	111741112
tall cupflower	112929828
tall field buttercup	111741112
tall gallberry holly	112778774
tall goldenrod	112038916
tall mallow	112192020
tall meadow grass	112129388
tall oat grass	112129388
tall oil	114992573
tall order	100799384
tall sunflower	111999430
tall tale	107236599
tall white violet	112409169
tall yellow-eye	112626633
tall-grass	112124755
tall-growing	302394570
tall-stalked	302394873
tallahassee	109097675
tallapoosa	109477017
tallapoosa river	109477017
tallboy	103523468
tallchief	111349502
talleyrand	111349685
tallgrass	112124755
tallin	109034900
tallinn	109034900
tallis	104004691 111349803
tallish	302395113
tallith	104004691
tallness	105009705 105144430
tallow	115087035
tallow oil	115091473
tallulah bankhead	110852900
tally	100190414 100635829 106529770 200951320 200951873 201114241 202663315
tally clerk	110709764
tallyman	110709764 110709917
talmud	106474066
talmudic literature	106473889
talon	102159065
taloned	300147151
talpidae	101891969
talus	105278882 109477283
talwin	103918783
tam	104394182
tam-o'-shanter	104394182
tam-tam	103452665
tamable	302460901
tamal	107895635
tamale	107895635 108966585
tamale pie	107895796
tamandu	102463759
tamandua	102463759
tamandua tetradactyla	102463759
tamanoir	102463082
tamara karsavina	111117198
tamarack	111639678
tamarao	102411848
tamarau	102411848
tamaricaceae	112406556
tamarillo	112923774
tamarin	102493738
tamarind	107780606 112521707
tamarind tree	112521707
tamarindo	107780606 112521707
tamarindus	112521540
tamarindus indica	112521707
tamarisk	112406979
tamarisk family	112406556
tamarisk gerbil	102346922
tamarix	112406780
tambac	115100258
tambala	113705447
tambocor	103367239
tambour	104394288 104394348
tambourine	104394487
tamburlaine	111350021
tame	200202809 200302637 200302911 200303245 200935528 300926473 302336908 302396713 302398514
tameable	302460901
tamed	302396713 302397667
tamely	400475829
tameness	104913019 105213841
tamer	110710034
tamerlane	111350021
tamias	102362427
tamias striatus	102362567
tamiasciurus	102359932
tamiasciurus douglasi	102360237
tamiasciurus hudsonicus	102360053
tamil	106992975 109694878 303134418
tamil eelam	108737725
tamil nadu	108925435
tamil tigers	108048776
tamm	111350223
tammany	108064794
tammany hall	108064794
tammany society	108064794
tammerfors	108798232
tammuz	109540627 115241182
tammy	104394182 104394618
tammy wynette	111420700
tammy wynetter pugh	111420700
tamoxifen	103303512
tamp	104394793 201577402
tamp down	201577402
tampa	109097834
tampa bay	109477395
tampax	104395019
tamper	104394793 201588939 202544767
tampere	108798232
tampering	100202365
tampico	108763734
tamping bar	104394793
tampion	104395127
tampon	104395249 201425821
tamponade	114531970
tamponage	114531970
tamus	112110142
tamus communis	112110363
tan	104980287 113810247 114314036 200103629 200512511 300385595
tanacetum	112041589
tanacetum balsamita	112041968
tanacetum camphoratum	112042351
tanacetum cinerariifolium	112042851
tanacetum coccineum	112042523
tanacetum douglasii	112043290
tanacetum parthenium	112043577
tanacetum ptarmiciflorum	112043876
tanacetum vulgare	112044195
tanach	106464033
tanager	101599977
tanakh	106464033
tanbark	112286257
tanbark oak	112285911
tancred	111350341
tandearil	103874722
tandem	102838476 105090774 400259144
tandem bicycle	102838476
tandem trailer	104395459
tandoor	104395560
tandy	111350499
tanekaha	111670758
taney	111350687
tang	101406236 101406354 101407748 101407891 105000286 105723811 108175819
tang dynasty	108175819
tanga	109058426 113724725
tanganyika	109057780 109356418
tange	111350958
tangelo	107764550 112731942
tangelo tree	112731942
tangency	103098248 114443478
tangent	113810247 113893773
tangent plane	113884747
tangential	301983424 302819653
tangentially	400145227
tangerine	104972751 107764392 112731055 300385756
tangerine tree	112731055
tangibility	104767279
tangible	300013681 301721570 302400023 302400702
tangible possession	113265650
tangibleness	104767279
tangibly	400475966
tangier	108992962
tangier pea	112562548
tangier peavine	112562548
tangiers	108992962
tanginess	105000286
tangle	105693684 109477542 201465557 201476664 201523757 202683607
tangle orchid	112099248
tangle with	202642894
tanglebush	112323209
tangled	300255923 302184401
tango	100538460 107071869 201900000
tangor	112731677
tangram	104395661
tangshan	108746582
tanguy	111351058
tangy	302378028
tank	103107422 104395830 104396120 104396608 113792669 200185493 201173860 202286927
tank car	104396608
tank circuit	104396724
tank destroyer	104396805
tank driver	110710144
tank engine	104396941
tank farm	108678448
tank farming	100920790
tank furnace	104397243
tank iron	104397425
tank locomotive	104396941
tank shell	104397570
tank ship	103850710
tank suit	103716260
tank top	104397664
tanka	104396427 106393217
tankage	100813716 113347125 113786110
tankard	104396517
tanker	103850710 110710144
tanker plane	104397086
tankful	113792669
tanned	300245814 301663781
tannenberg	101298996
tanner	110710238 113412625
tanner's cassia	112520262
tannery	104397846
tannia	111813872
tannic	303134591
tannic acid	115091592
tannin	115091592
tanning	100928877 101165537 113586825
tannish	300385677
tannoy	104397960
tanoan	106933274
tanoan language	106933274
tansy	112044195
tansy leaf aster	112013672
tansy mustard	111905436
tansy ragwort	112032722
tansy-leaved rocket	111909674
tansy-scented	301061146
tansy-smelling	301061146
tantalise	200852181
tantaliser	110710345
tantalising	301361543 301361694
tantalite	115091942
tantalization	100426908
tantalize	200852181
tantalizer	110710345
tantalizing	301361543 301361694
tantalizingly	400197312
tantalum	114680845
tantalus	109616825
tantamount	300893644
tantilla	101741606
tantra	106252557 106475911
tantric	302937338
tantrik	302937338
tantrism	106252557 108116613
tantrist	109703854
tantrum	114429707
tanzania	109057025
